education = The Tamil Nadu Public Service Commission (TNPSC) had conducted its Group 4 examinations for 2018. The commission is now expected to release the answer keys for the examinations soon. Reportedly, the TNPSC Group 4 Answer Keys are expected to be out by February 13, 2018. The official notification for the same will be available on the official website of the commission - tnpsc.gov.in. As of now, the list of the expected cut off for the post of typist and junior assistant examinations of TNPSC Group 4 is here.
education = JNU on Monday turned into a gurukul of sorts as teachers, in solidarity with the call of students for a complete strike, decided to conduct classes in the open.
education = The Central Industrial Security Force (CISF) has invited online application for filling up 447 posts of constable/driver and constable/driver-cum-pump-operator-(driver for fire services) in CISF - 2017. The recruitment is open to all male Indian citizens only.
education = The India State of Forest Report (ISFR) 2017, released by the environment ministry today, shows that the increase in tree cover during the period has, however, taken the overall tally of total forest and tree cover together to 8,02,088 sq km in 2017 - an increase of 8,021 sq km (1% increase as compared to 2015 assessment).
education = Students' Union of the Ramadevi Women's University is holding its annual day function on Tuesday. As higher education minister Anant Das and finance minister Sashibhusan Behera are scheduled to attend the occasion, students are hopeful that the ministers will clear air on the second campus issue.
business = Pinning hopes on further reduction in global crude oil prices, economic affairs secretary Subhash Chandra Garg on Thursday indicated that the retail prices of petrol and diesel could see a further decline.
business = R Venkatarman had alleged that the "present accusations qua Air Asia India find their root in baseless allegations made by Cyrus P Mistry and the Shapoor Pallonji Group against Tata Trusts Trustees (me included) and Tata Sons in his 'revenge' legal actions."
business = It proposes the bring down the fiscal deficit -- the gap between total expenditure and total revenue -- during 2018-19 to 3.3 per cent of the gross domestic product (GDP).
business = Banks that achieve the target of minimum eight Aadhaar enrolments or updations per day per branch in July will not have to face "financial disincentives" up to July 2018.
business = "The scope of enquiry would be comprehensive and include all relevant matters arising out of and in the course of examination of the facts and wherever warranted, use of forensics/e-mail reviews and recordal of statements of relevant personnel etc," the filing said.
business = Losses of public sector banks (PSBs) add up to over Rs 79,000 crore and bad loans to a whopping Rs 8.6 lakh crore for the fiscal year 2017-18 -- both highest ever in the country's banking history.
tech = The iPhone 7 Plus 32GB, 128GB and 256GB will cost Rs 72,000, Rs 82,000 and Rs 92,000 respectively
tech = Apple has announced biggest-ever price drop for its smartphones in India. Under the new pricing, iPhone 6S (128GB), carying an MRP of Rs 82,000, will now be available at an MRP of Rs 60,000. iPhone 6s Plus (128GB) will now be available at an MRP of Rs 70,000,  the smartphone too has received a price cut of Rs 22,000. Apple's 4-inch smartphone iPhone SE, too has got a price cut. The 64GB version of iPhone SE will now be available at Rs 44,000.
tech = A public interest litigation in the Delhi High Court (HC) challenges the change in WhatsApp's privacy policy.
tech = iOS 10 reached 14.45% of eligible devices in the first 24 hours of its release. In comparison, iOS 9 was on 12.60% of eligible device within 24 hours of it being released for all users.
tech = Fitness tracking wearables maker Fitbit recently launched its Charge 2 and Flex 2 fitness trackers in India. While the Flex 2 is priced at Rs 9,499, the more expensive Charge 2 bears a price tag of Rs 14,999. The new Fitbit Charge 2 has a heart-rate monitor, a feature previously limited to the 'HR' edition of the Charge only. It comes with a touch-sensitive OLED display, as well as a 3-axis accelerometer, an altimeter and a vibration motor. Fitbit Charge 2 syncs with its companion smartphone app over Bluetooth.
tech = All those Apple fans out there in India waiting desperately to lay there hands on the next iPhones -- iPhone 7 and iPhone 7 Plus -- can now pre-order the new smartphones.
tech = Apple CEO Tim Cook is a man of few words. In an interview to Washington Post, the usually reticent CEO of one of the world's most valuable company talked about a number of things including the 'enormous India opportunity', Steve Jobs, mistakes made during his tenure so far and much more.
tech = ​Reliance Communications and Aircel will hold 50% stake each in the new combined entity, which will be listed later. Both companies will also transfer debt of Rs 14,000 crore each. As for the net worth of the new company, it’ll be around Rs 35,000 crore.​
tech = Although a significant increase, Android Marshmallow still lies below Android Lollipop, and Kitkat on the list. As per the latest distribution numbers, Android Lollipop 5.0 and v5.1 together run on 35% Android devices, followed by Android Kitkat 4.4 with a 27.7% share.
tech = To download watchOS 3, users are recommended to install the latest iOS version and keep the Apple Watch’s minimum charge of up to 50%.
tech = Instant messaging platform WhatsApp today opposed in Delhi High Court a plea alleging that privacy of its users has been threatened by a new privacy policy announced by Facebook, saying regulations were in place and the latter does not have access to any data as it provides end-to-end encryption.
tech = The feature lets users browse through groups divided into 25 categories such as parenting, sports, food, buy & sell and more. Each topic page highlights the top suggested groups, based on popularity and group members that users might already know.
tech = Lenovo-owned Motorola is all set to launch its latest budget smartphone – Moto E3 Power, in India. The company has confirmed on its social channels that it will be launching the Moto E3 Power at an event scheduled for September 19. The smartphone will be available exclusively on Flipakrt.
tech = Financial technology startup Finomena lets you buy high-end products and devices through EMIs without a credit score.
tech = Apple's latest mobile operating system -- iOS 10 -- is rolling our to users globally starting today.
tech = Telecom operator Reliance Communications today posted 5.8% rise in consolidated net profit to Rs 54 crore for the three-month period ended June 30.
tech = Several user reports and news websites mentioned that after the installation process the handset showed an error prompting users to plug it to iTunes on a PC. On connecting, another error cropped up which read, “There is a problem with the iPhone 'iPhone' that requires it to be updated or restored.”
tech = Apple has announced that it will be adding the ability to capture RAW images to iPhones, starting with iOS 10. While the stock iOS camera app doesn’t have the functionality to capture RAW images, iPhone users can use Adobe’s Lightroom app for the same.
tech = Videocon Mobiles has launched its latest 4G smartphone, Cube 3 (V50JL) in India. Priced at Rs 8,490, the smartphone will available across all retail stores.
health = Blood clots, which are responsible foir killing many people every year, can now be treated without needles, i.e by oral medication. 
health = Doctors have operated on a woman which they claim is the first hysterectomy in Europe through a tiny incision in her belly button, leaving no visible outward scars.
health = The Australian Herpes Management Forum says that once you are affected with the Herpes virus, it stays in the body and can reactivate at any time.
health = Scientists claimed to have developed a new variety of broccoli that is not only grown naturally, but also tastes sweeter and has 40% more anti-oxidants than the normal to reduce risks of heart disease and cancer. 
health = Want to lead a healthy life and free your home from bacteria? Perform 'havan' at regular intervals. 
health = It's a dream come true for tired-out-moms, a revolutionary new cot mattress which mimics the sensation of the womb to keep babies happy at night. 
health = With India battling swine flu, an eminent Indian-American doctor has said it is the right time the government in the country accelerate process of training its doctors in infectious diseases or else it could be too late to bring the situation under control. 
health = Are the rising swine flu casualties giving you jitters?
health = Cadila Pharmaceutical will seek the govt's nod in two days for initiating clinical trials for a vaccine against swine flu.
health = A new study has claimed synthetic bedding can aggravate asthma more than feather products as it contains high levels of fungal cells.
health = As countries grapple with the Swine flu, experts have warned that a new wave of the deadly virus is ready and could sicken millions. 
health = Scientists have developed a "molecular condom", which they claim is a vaginal gel to help protect women from contracting HIV during sexual intercourse.
health = At a time the country is grappling with H1N1 virus and Tamiflu tablet is belived to be the only solution, a well-known medical practitioner today claimed that people can have a cost-effective treatment in homeopathy for swine flu.
health = Fewer women in India now suffer from cervical cancer - counted among the worst of killers. However, breast cancer cases have shot up alarmingly.
health = Scientists in Japan have managed to grow teeth from stem cells, a development that could make dentures redundant.
health = According to University of Oxford, Men who do household chores are more likely to marry a girl of their choice. 
health = Gynaecologists have noticed a sharp spike in cases of menstrual complications among young women who are repeatedly using OTC EC and abortion pills.
health = Why is every alternate person in rural India above the age of 40 blinded by cataract when only one in five in cities has the disease?
health = India is heading towards a diabetic explosion with 70 million people to be affected by 2015, a decade ahead of expectations.
health = Don't text while driving as a new study suggests that doing so increases the risk of a crash much more than talking or listening on a mobile phone. 
